"No"|"Time"|"Interval"|"InTemp"|"InHumi"|"OutTemp"|"OutHumi"|"RelPressure"|"AbsPressure"|"Wind"|"Gust"|"WindDirection"|"DewPoint"|"WindChill"|"RainHour"|"Rain24H"|"RainWeek"|"RainMonth"|"RainTotal"|"day"
"1"|1|2017-06-13 13:07:55|"30"|"25.4"|"50"|"25.2"|"50"|"1013"|"978.8"|"0"|"0"|" NW"|"14.1"|"25.2"|"0"|"0"|"0"|"0"|"0"|2017-06-13
"2"|2|2017-06-13 13:37:55|"30"|"32.1"|"30"|"35.5"|"21"|"1012.7"|"978.5"|"5"|"7.2"|" N"|"9.9"|"35.5"|"0.6"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"3"|3|2017-06-13 14:07:55|"30"|"28"|"39"|"36"|"21"|"1012.7"|"978.5"|"5"|"7.2"|" N"|"10.3"|"36"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"4"|4|2017-06-13 14:37:55|"30"|"26.6"|"43"|"36.9"|"20"|"1012.6"|"978.4"|"6.1"|"9.7"|" SSE"|"10.3"|"36.9"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"5"|5|2017-06-13 15:07:55|"30"|"26.5"|"46"|"37.3"|"20"|"1012.5"|"978.3"|"5"|"8.6"|" SE"|"10.6"|"37.3"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"6"|6|2017-06-13 15:12:55|"5"|"26.6"|"46"|"37.2"|"20"|"1012.3"|"978.1"|"5"|"7.2"|" W"|"10.5"|"37.2"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"7"|7|2017-06-13 15:17:55|"5"|"26.5"|"46"|"36.9"|"20"|"1012.4"|"978.2"|"2.5"|"5"|" SE"|"10.3"|"36.9"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"8"|8|2017-06-13 15:22:55|"5"|"26.4"|"47"|"37"|"20"|"1012.5"|"978.3"|"6.1"|"8.6"|" W"|"10.4"|"37"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"9"|9|2017-06-13 15:24:53|"5"|"26.4"|"47"|"37.4"|"20"|"1012.4"|"978.2"|"1.1"|"3.6"|" E"|"10.7"|"37.4"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
"10"|10|2017-06-13 15:29:53|"5"|"26.4"|"47"|"37.8"|"20"|"1012.2"|"978"|"5"|"7.2"|" NE"|"11"|"37.8"|"0"|"0.6"|"0.6"|"0.6"|"0.6"|2017-06-13
